Cliente_ID,Fecha,Producto,Rubro,Medio_Pago,Precio,Descuento,Edad,Género,Canal_Venta,Total
C00001,2024-04-12,Máscara de pestañas,Cuidado Facial,Tarjeta,8993,0.05,56.0,F,Online,8543.35
C00002,2024-02-21,Eau de Parfum,Cuidado Facial,Efectivo,3792,0.0,16.0,F,Online,3792.0
C00003,2024-04-02,Labial mate,Cuidado Capilar,Débito,9764,0.0,67.0,F,Tienda,9764.0
C00004,2024-01-15,Sérum facial,Cuidado Facial,Tarjeta,8386,0.0,68.0,F,Online,8386.0
C00005,2024-04-16,Base líquida HD,Maquillaje,Tarjeta,5893,0.0,31.0,F,Tienda,5893.0
C00006,2024-03-12,Base líquida HD,Fragancia,Efectivo,6096,0.2,50.0,F,Online,4876.8
C00007,2024-03-01,Acondicionador vegano,Fragancia,Efectivo,5856,0.2,34.0,F,Tiena,4684.8
C00008,2024-01-21,Labial mate,Cuidado Capilar,Tarjeta,4655,0.0,31.0,M,Tienda,4655.0
C00009,2024-04-12,Labial mate,Maquillaje,Efectivo,9484,0.05,48.0,M,Online,9009.8
C00010,2024-03-23,Base líquida HD,Cuidado Facial,Transferencia,5293,0.05,46.0,M,Online,5028.349999999999
C00011,2024-03-27,Esmalte en gel,Fragancia,Efectivo,1079,0.1,37.0,M,Online,971.1
C00012,2024-03-15,Base líquida HD,Fragancia,Transferencia,14696,0.1,59.0,F,Online,13226.4
C00013,2024-03-15,Labial mate,Fragancia,Tarjeta,13424,0.0,35.0,F,Tienda,13424.0
C00014,2024-03-28,Tónico facial,Fragancia,Débito,5308,0.1,21.0,F,Tienda,4777.2
C00015,2024-04-26,Esmalte en gel,Uñas,Transferencia,2862,0.1,50.0,F,Tienda,2575.8
C00016,2024-04-09,Crema hidratante,Cuidado Capilar,Débito,1618,0.05,54.0,M,Tienda,1537.1
C00017,2024-04-13,Sérum facial,Cuidado Facial,Tarjeta,1959,0.05,18.0,F,Tienda,1861.05
C00018,2024-01-24,Máscara de pestañas,Cuidado Facial,Efectivo,12470,0.2,47.0,M,Online,9976.0
C00019,2024-01-03,Eau de Parfum,Cuidado Capilar,Transferencia,4735,0.15,28.0,F,Online,4024.75
C00020,2024-01-22,Crema hidratante,Maquillaje,Transferencia,9114,0.05,63.0,M,Tienda,8658.3
C00021,2024-02-22,Shampoo sin sulfato,Cuidado Capilar,Tarjeta,11405,0.0,29.0,M,Online,11405.0
C00022,2024-01-02,Base líquida HD,Fragancia,Tarjeta,12766,0.05,56.0,M,Tienda,12127.699999999999
C00023,2024-03-28,Sérum facial,Fragancia,Efectivo,13188,0.1,23.0,F,Tienda,11869.2
C00024,2024-04-17,Base líquida HD,Cuidado Capilar,Débito,11669,0.0,62.0,M,Online,11669.0
C00025,2024-01-30,Base líquida HD,Cuidado Capilar,Transferencia,12443,0.05,34.0,M,Tienda,11820.849999999999
C00026,2024-02-07,Crema hidratante,Cuidado Facial,Débito,3168,0.0,60.0,F,Online,3168.0
C00027,2024-01-02,Tónico facial,Cuidado Facial,Transferencia,4245,0.0,29.0,F,Online,4245.0
C00028,2024-03-04,Tónico facial,Uñas,Transferencia,11570,0.0,26.0,M,Tienda,11570.0
C00029,2024-02-29,Máscara de pestañas,Uñas,Efectivo,8235,0.0,65.0,F,Tienda,8235.0
C00030,2024-01-21,Esmalte en gel,Fragancia,Transferencia,10914,0.05,50.0,M,Tienda,10368.3
C00031,2024-02-02,Base líquida HD,Uñas,Transferencia,2161,0.15,51.0,F,Online,1836.85
C00032,2024-03-16,Acondicionador vegano,Uñas,Tarjeta,11081,0.05,18.0,M,Tienda,10526.949999999999
C00033,2024-02-27,Tónico facial,Maquillaje,Efectivo,3040,0.05,40.0,F,Tienda,2888.0
C00034,2024-01-22,Labial mate,Cuidado Capilar,Tarjeta,13163,0.1,28.0,F,Online,11846.7
C00035,2024-04-17,Sérum facial,Cuidado Facial,Transferencia,12593,0.0,31.0,M,Online,12593.0
C00036,2024-03-29,Acondicionador vegano,Uñas,Efectivo,9160,0.0,43.0,M,Online,9160.0
C00037,2024-02-18,Crema hidratante,Cuidado Facial,Transferencia,12501,0.0,60.0,F,Online,12501.0
C00038,2024-03-31,Crema hidratante,Uñas,Efectivo,6649,0.1,42.0,F,Online,5984.1
C00039,2024-02-28,Máscara de pestañas,Uñas,Débito,10291,0.1,25.0,M,Online,9261.9
C00040,2024-02-11,Máscara de pestañas,Fragancia,Débito,13210,0.0,33.0,F,Tienda,13210.0
C00041,2024-04-01,Esmalte en gel,Maquillaje,Efectivo,8318,0.1,23.0,F,Online,7486.2
C00042,2024-02-29,Labial mate,Cuidado Capilar,Transferencia,10880,0.2,22.0,M,Online,8704.0
C00043,2024-03-20,Sérum facial,Cuidado Capilar,Efectivo,8483,0.0,64.0,F,Tienda,8483.0
C00044,2024-01-15,Labial mate,Fragancia,Transferencia,5132,0.1,37.0,F,Online,4618.8
C00045,2024-03-02,Shampoo sin sulfato,Fragancia,Débito,1844,0.0,53.0,M,Tienda,1844.0
C00046,2024-03-02,Máscara de pestañas,Cuidado Capilar,Transferencia,6777,0.05,62.0,M,Tienda,6438.15
C00047,2024-02-16,Esmalte en gel,Cuidado Capilar,Tarjeta,2643,0.05,24.0,F,Tienda,2510.85
C00048,2024-03-02,Eau de Parfum,Maquillaje,Débito,11525,0.1,57.0,F,Tienda,10372.5
C00049,2024-02-20,Base líquida HD,Uñas,Tarjeta,2263,0.05,55.0,M,Online,2149.85
C00050,2024-04-17,Base líquida HD,Maquillaje,Débito,3934,0.05,54.0,M,Online,3737.2999999999997
C00051,2024-02-24,Eau de Parfum,Cuidado Capilar,Débito,12877,0.0,44.0,M,Online,12877.0
C00052,2024-04-25,Tónico facial,Uñas,Tarjeta,7139,0.0,52.0,M,Online,7139.0
C00053,2024-03-04,Labial mate,Cuidado Capilar,Efectivo,8174,0.1,65.0,M,Online,7356.6
C00054,2024-04-30,Eau de Parfum,Maquillaje,Transferencia,1215,0.0,63.0,F,Tienda,1215.0
C00055,2024-01-03,Esmalte en gel,Maquillaje,Débito,5776,0.0,62.0,F,Online,5776.0
C00056,2024-04-10,Sérum facial,Maquillaje,Transferencia,12849,0.0,57.0,F,Online,12849.0
C00057,2024-02-20,Eau de Parfum,Uñas,Débito,3340,0.0,44.0,M,Online,3340.0
C00058,2024-01-07,Esmalte en gel,Cuidado Facial,Transferencia,8706,0.0,43.0,M,Online,8706.0
C00059,2024-01-21,Máscara de pestañas,Cuidado Facial,Débito,10699,0.1,36.0,M,Tienda,9629.1
